meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,5.6,0.55,0.05,1.06,1.06,5.6,5.6,2.88,5.6,6.3,4.76,6.3,6.3,6.3,6.3,ChangeInsulationRValueForExteriorWalls,r_value,12.4,5.6,5.6,5.6,5.6,10.26,5.95,5.6,7.61,7.61,6.3,11.7,10.26,14.02,18.88,ChangeInsulationRValueForExteriorWalls,r_value,12.4,0.55,0.05,1.06,1.06,10.26,5.95,2.88,7.61,7.61,4.76,11.7,10.26,14.02,18.88,3
ChangeInsulationRValueForRoofs,r_value_roof,12.4,12.6,12.6,12.6,12.6,10.24,12.6,12.6,12.6,13.3,13.3,13.3,13.3,13.3,13.3,ChangeInsulationRValueForRoofs,r_value_roof,12.6,14.02,20.64,12.76,19.68,12.6,16.14,15.83,14.52,17.74,18.46,21.06,19.31,23.89,31.14,ChangeInsulationRValueForRoofs,r_value_roof,12.4,14.02,20.64,12.76,19.68,10.24,16.14,15.83,14.52,17.74,18.46,21.06,19.31,23.89,31.14,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.63,0.63,0.63,0.63,0.63,0.63,0.59,0.63,0.63,0.5,0.5,0.5,0.5,0.5,0.5,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,0.72,1.03,0.72,0.63,0.72,0.72,0.59,0.59,0.52,0.52,0.52,0.52,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,0.72,1.03,0.72,0.59,0.72,0.72,0.59,0.59,0.52,0.52,0.52,0.52,2
ChangeUValueandSHGCOfWindows,window_shgc,0.25,0.25,0.25,0.26,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62,ChangeUValueandSHGCOfWindows,window_shgc,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.69,0.69,0.69,0.69,0.69,0.69,ChangeUValueandSHGCOfWindows,window_shgc,0.25,0.25,0.25,0.26,0.25,0.39,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.49,0.62,2
SetBoilerThermalEfficiency,boiler_thermal_efficiency,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,SetBoilerThermalEfficiency,boiler_thermal_efficiency,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,SetBoilerThermalEfficiency,boiler_thermal_efficiency,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,3
ReplaceLightsInSpaceTypeWithLPD,lpd,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,12.92,ReplaceLightsInSpaceTypeWithLPD,lpd,19.38,19.38,19.38,19.38,19.38,19.38,19.38,19.38,19.38,19.38,19.38,19.38,19.38,19.38,19.38,ReplaceLightsInSpaceTypeWithLPD,lpd,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,16.15,3
SetChillerCOP,chiller_thermal_efficiency,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,SetChillerCOP,chiller_thermal_efficiency,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,SetChillerCOP,chiller_thermal_efficiency,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,2
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetWaterHeaterEfficiency,heater_thermal_efficiency,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,4
AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AddOverhangsByProjectionFactor,projection_factor,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,AddOverhangsByProjectionFactor,projection_factor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ChangeOutdoorAir,design_spec_outdoor_air_per_person,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,ChangeOutdoorAir,design_spec_outdoor_air_per_person,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,ChangeOutdoorAir,design_spec_outdoor_air_per_person,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1
ResizeExistingWindowsToMatchAGivenWWR,wwr,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2
ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,-173.574,-173.574,-173.574,-173.574,-173.574,-173.574,-173.574,-173.574,-173.574,-173.574,-173.574,-173.574,-173.574,-173.574,-173.574,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
